,State_Code,District_Name,Type,Status,Count
0,AN,Nicobars,delta7,vaccinated1,62.0
1,AN,Nicobars,delta7,vaccinated2,811.0
2,AN,Nicobars,meta,population,36842.0
3,AN,Nicobars,total,vaccinated1,25394.0
4,AN,Nicobars,total,vaccinated2,20313.0
5,AN,North and Middle Andaman,delta,vaccinated2,8.0
6,AN,North and Middle Andaman,delta7,vaccinated1,90.0
7,AN,North and Middle Andaman,delta7,vaccinated2,1839.0
8,AN,North and Middle Andaman,meta,population,105597.0
9,AN,North and Middle Andaman,total,vaccinated1,78945.0
10,AN,North and Middle Andaman,total,vaccinated2,59522.0
11,AN,South Andaman,delta,vaccinated1,3.0
12,AN,South Andaman,delta,vaccinated2,28.0
13,AN,South Andaman,delta7,vaccinated1,732.0
14,AN,South Andaman,delta7,vaccinated2,8012.0
15,AN,South Andaman,meta,population,238142.0
16,AN,South Andaman,total,vaccinated1,189662.0
17,AN,South Andaman,total,vaccinated2,120322.0
18,AN,Unknown,delta21_14,confirmed,9.0
19,AN,Unknown,delta7,confirmed,3.0
20,AN,Unknown,delta7,recovered,5.0
21,AN,Unknown,total,confirmed,7651.0
22,AN,Unknown,total,deceased,129.0
23,AN,Unknown,total,recovered,7518.0
24,AP,Anantapur,delta,confirmed,4.0
25,AP,Anantapur,delta,recovered,5.0
26,AP,Anantapur,delta,vaccinated1,4575.0
27,AP,Anantapur,delta,vaccinated2,5370.0
28,AP,Anantapur,delta21_14,confirmed,50.0
29,AP,Anantapur,delta7,confirmed,38.0
30,AP,Anantapur,delta7,recovered,58.0
31,AP,Anantapur,delta7,vaccinated1,92803.0
32,AP,Anantapur,delta7,vaccinated2,140903.0
33,AP,Anantapur,meta,population,4083315.0
35,AP,Anantapur,total,confirmed,157843.0
36,AP,Anantapur,total,deceased,1093.0
37,AP,Anantapur,total,recovered,156699.0
38,AP,Anantapur,total,tested,787085.0
39,AP,Anantapur,total,vaccinated1,2690082.0
40,AP,Anantapur,total,vaccinated2,1611476.0
41,AP,Chittoor,delta,confirmed,64.0
42,AP,Chittoor,delta,deceased,1.0
43,AP,Chittoor,delta,recovered,87.0
44,AP,Chittoor,delta,vaccinated1,878.0
45,AP,Chittoor,delta,vaccinated2,1306.0
46,AP,Chittoor,delta21_14,confirmed,631.0
47,AP,Chittoor,delta7,confirmed,516.0
48,AP,Chittoor,delta7,deceased,6.0
49,AP,Chittoor,delta7,recovered,629.0
50,AP,Chittoor,delta7,vaccinated1,63824.0
51,AP,Chittoor,delta7,vaccinated2,119541.0
52,AP,Chittoor,meta,population,4170468.0
54,AP,Chittoor,total,confirmed,246935.0
55,AP,Chittoor,total,deceased,1947.0
56,AP,Chittoor,total,recovered,244144.0
57,AP,Chittoor,total,tested,780322.0
58,AP,Chittoor,total,vaccinated1,2832987.0
59,AP,Chittoor,total,vaccinated2,1807873.0
60,AP,East Godavari,delta,confirmed,87.0
61,AP,East Godavari,delta,recovered,121.0
62,AP,East Godavari,delta,vaccinated1,41.0
63,AP,East Godavari,delta,vaccinated2,237.0
64,AP,East Godavari,delta21_14,confirmed,401.0
65,AP,East Godavari,delta7,confirmed,604.0
66,AP,East Godavari,delta7,recovered,520.0
67,AP,East Godavari,delta7,vaccinated1,36973.0
68,AP,East Godavari,delta7,vaccinated2,223236.0
69,AP,East Godavari,meta,population,5151549.0
71,AP,East Godavari,total,confirmed,293836.0
72,AP,East Godavari,total,deceased,1290.0
73,AP,East Godavari,total,recovered,291610.0
74,AP,East Godavari,total,tested,944746.0
75,AP,East Godavari,total,vaccinated1,3532220.0
76,AP,East Godavari,total,vaccinated2,1990578.0
77,AP,Foreign Evacuees,total,confirmed,434.0
78,AP,Foreign Evacuees,total,recovered,434.0
79,AP,Guntur,delta,confirmed,33.0
80,AP,Guntur,delta,recovered,198.0
81,AP,Guntur,delta,vaccinated1,1119.0
82,AP,Guntur,delta,vaccinated2,1248.0
83,AP,Guntur,delta21_14,confirmed,509.0
84,AP,Guntur,delta7,confirmed,272.0
85,AP,Guntur,delta7,deceased,4.0
86,AP,Guntur,delta7,recovered,619.0
87,AP,Guntur,delta7,vaccinated1,285377.0
88,AP,Guntur,delta7,vaccinated2,156818.0
89,AP,Guntur,meta,population,4889230.0
91,AP,Guntur,total,confirmed,178068.0
92,AP,Guntur,total,deceased,1237.0
93,AP,Guntur,total,recovered,176629.0
94,AP,Guntur,total,tested,833823.0
95,AP,Guntur,total,vaccinated1,3440118.0
96,AP,Guntur,total,vaccinated2,1891773.0
97,AP,Krishna,delta,confirmed,46.0
98,AP,Krishna,delta,deceased,1.0
99,AP,Krishna,delta,recovered,71.0
100,AP,Krishna,delta,vaccinated1,51.0
101,AP,Krishna,delta,vaccinated2,337.0
102,AP,Krishna,delta21_14,confirmed,405.0
103,AP,Krishna,delta7,confirmed,422.0
104,AP,Krishna,delta7,deceased,9.0
105,AP,Krishna,delta7,recovered,467.0
106,AP,Krishna,delta7,vaccinated1,75352.0
107,AP,Krishna,delta7,vaccinated2,230788.0
108,AP,Krishna,meta,population,4529009.0
110,AP,Krishna,total,confirmed,119348.0
111,AP,Krishna,total,deceased,1430.0
112,AP,Krishna,total,recovered,117130.0
113,AP,Krishna,total,tested,782232.0
114,AP,Krishna,total,vaccinated1,2971604.0
115,AP,Krishna,total,vaccinated2,1914927.0
116,AP,Kurnool,delta,confirmed,6.0
117,AP,Kurnool,delta,recovered,3.0
118,AP,Kurnool,delta,vaccinated1,4716.0
119,AP,Kurnool,delta,vaccinated2,1538.0
120,AP,Kurnool,delta21_14,confirmed,31.0
121,AP,Kurnool,delta7,confirmed,25.0
122,AP,Kurnool,delta7,recovered,26.0
123,AP,Kurnool,delta7,vaccinated1,178620.0
124,AP,Kurnool,delta7,vaccinated2,73119.0
125,AP,Kurnool,meta,population,4046601.0
127,AP,Kurnool,total,confirmed,124142.0
128,AP,Kurnool,total,deceased,853.0
129,AP,Kurnool,total,recovered,123264.0
130,AP,Kurnool,total,tested,867361.0
131,AP,Kurnool,total,vaccinated1,2672759.0
132,AP,Kurnool,total,vaccinated2,1290419.0
133,AP,Other State,total,confirmed,2461.0
134,AP,Other State,total,recovered,2461.0
135,AP,Prakasam,delta,confirmed,6.0
136,AP,Prakasam,delta,recovered,37.0
137,AP,Prakasam,delta,vaccinated1,3292.0
138,AP,Prakasam,delta,vaccinated2,5872.0
139,AP,Prakasam,delta21_14,confirmed,243.0
140,AP,Prakasam,delta7,confirmed,103.0
141,AP,Prakasam,delta7,deceased,3.0
142,AP,Prakasam,delta7,recovered,290.0
143,AP,Prakasam,delta7,vaccinated1,137338.0
144,AP,Prakasam,delta7,vaccinated2,130213.0
145,AP,Prakasam,meta,population,3392764.0
147,AP,Prakasam,total,confirmed,138482.0
148,AP,Prakasam,total,deceased,1124.0
149,AP,Prakasam,total,recovered,136989.0
150,AP,Prakasam,total,tested,697340.0
151,AP,Prakasam,total,vaccinated1,2321031.0
152,AP,Prakasam,total,vaccinated2,1521177.0
153,AP,S,P,S,34.0
154,AP,S,P,S,1.0
155,AP,S,P,S,23.0
156,AP,S,P,S,2724.0
157,AP,S,P,S,1639.0
158,AP,S,P,S,283.0
159,AP,S,P,S,155.0
160,AP,S,P,S,2.0
161,AP,S,P,S,235.0
162,AP,S,P,S,96973.0
163,AP,S,P,S,114393.0
164,AP,S,P,S,2966082.0
166,AP,S,P,S,146388.0
167,AP,S,P,S,1053.0
168,AP,S,P,S,144919.0
169,AP,S,P,S,682964.0
170,AP,S,P,S,2143402.0
171,AP,S,P,S,1403240.0
172,AP,Srikakulam,delta,confirmed,19.0
173,AP,Srikakulam,delta,recovered,20.0
174,AP,Srikakulam,delta,vaccinated1,2.0
175,AP,Srikakulam,delta,vaccinated2,6.0
176,AP,Srikakulam,delta21_14,confirmed,47.0
177,AP,Srikakulam,delta7,confirmed,132.0
178,AP,Srikakulam,delta7,recovered,72.0
179,AP,Srikakulam,delta7,vaccinated1,18883.0
180,AP,Srikakulam,delta7,vaccinated2,129575.0
181,AP,Srikakulam,meta,population,2699471.0
183,AP,Srikakulam,total,confirmed,123109.0
184,AP,Srikakulam,total,deceased,786.0
185,AP,Srikakulam,total,recovered,122136.0
186,AP,Srikakulam,total,tested,670899.0
187,AP,Srikakulam,total,vaccinated1,1630248.0
188,AP,Srikakulam,total,vaccinated2,974734.0
189,AP,Visakhapatnam,delta,confirmed,27.0
190,AP,Visakhapatnam,delta,recovered,30.0
191,AP,Visakhapatnam,delta,vaccinated1,1309.0
192,AP,Visakhapatnam,delta,vaccinated2,2311.0
193,AP,Visakhapatnam,delta21_14,confirmed,273.0
194,AP,Visakhapatnam,delta7,confirmed,237.0
195,AP,Visakhapatnam,delta7,deceased,1.0
196,AP,Visakhapatnam,delta7,recovered,227.0
197,AP,Visakhapatnam,delta7,vaccinated1,65301.0
198,AP,Visakhapatnam,delta7,vaccinated2,207340.0
199,AP,Visakhapatnam,meta,population,4288113.0
201,AP,Visakhapatnam,total,confirmed,157737.0
202,AP,Visakhapatnam,total,deceased,1127.0
203,AP,Visakhapatnam,total,recovered,156492.0
204,AP,Visakhapatnam,total,tested,744983.0
205,AP,Visakhapatnam,total,vaccinated1,2999432.0
206,AP,Visakhapatnam,total,vaccinated2,1864960.0
207,AP,Vizianagaram,delta,confirmed,7.0
208,AP,Vizianagaram,delta,deceased,1.0
209,AP,Vizianagaram,delta,recovered,11.0
210,AP,Vizianagaram,delta,vaccinated1,601.0
211,AP,Vizianagaram,delta,vaccinated2,1855.0
212,AP,Vizianagaram,delta21_14,confirmed,30.0
213,AP,Vizianagaram,delta7,confirmed,53.0
214,AP,Vizianagaram,delta7,deceased,1.0
215,AP,Vizianagaram,delta7,recovered,38.0
216,AP,Vizianagaram,delta7,vaccinated1,44847.0
217,AP,Vizianagaram,delta7,vaccinated2,123576.0
218,AP,Vizianagaram,meta,population,2342868.0
220,AP,Vizianagaram,total,confirmed,82967.0
221,AP,Vizianagaram,total,deceased,672.0
222,AP,Vizianagaram,total,recovered,82231.0
223,AP,Vizianagaram,total,tested,531433.0
224,AP,Vizianagaram,total,vaccinated1,1393491.0
225,AP,Vizianagaram,total,vaccinated2,996097.0
226,AP,West Godavari,delta,confirmed,40.0
227,AP,West Godavari,delta,recovered,44.0
228,AP,West Godavari,delta,vaccinated1,878.0
229,AP,West Godavari,delta,vaccinated2,1884.0
230,AP,West Godavari,delta21_14,confirmed,171.0
231,AP,West Godavari,delta7,confirmed,234.0
232,AP,West Godavari,delta7,deceased,4.0
233,AP,West Godavari,delta7,recovered,246.0
234,AP,West Godavari,delta7,vaccinated1,61021.0
235,AP,West Godavari,delta7,vaccinated2,146562.0
236,AP,West Godavari,meta,population,3934782.0
238,AP,West Godavari,total,confirmed,179077.0
239,AP,West Godavari,total,deceased,1117.0
240,AP,West Godavari,total,recovered,177680.0
241,AP,West Godavari,total,tested,793098.0
242,AP,West Godavari,total,vaccinated1,2525317.0
243,AP,West Godavari,total,vaccinated2,1778807.0
244,AP,Y,S,R,12.0
245,AP,Y,S,R,25.0
246,AP,Y,S,R,1005.0
247,AP,Y,S,R,1101.0
248,AP,Y,S,R,146.0
249,AP,Y,S,R,82.0
250,AP,Y,S,R,163.0
251,AP,Y,S,R,65843.0
252,AP,Y,S,R,90958.0
253,AP,Y,S,R,2884524.0
255,AP,Y,S,R,115623.0
256,AP,Y,S,R,644.0
257,AP,Y,S,R,114904.0
258,AP,Y,S,R,671761.0
259,AP,Y,S,R,1824032.0
260,AP,Y,S,R,1328711.0
261,AR,Anjaw,delta7,vaccinated1,45.0
262,AR,Anjaw,delta7,vaccinated2,452.0
263,AR,Anjaw,meta,population,21089.0
265,AR,Anjaw,total,confirmed,1068.0
266,AR,Anjaw,total,deceased,3.0
267,AR,Anjaw,total,recovered,1065.0
268,AR,Anjaw,total,tested,2845.0
269,AR,Anjaw,total,vaccinated1,11695.0
270,AR,Anjaw,total,vaccinated2,7957.0
272,AR,Capital Complex,total,tested,115210.0
273,AR,Changlang,delta,recovered,1.0
274,AR,Changlang,delta7,confirmed,3.0
275,AR,Changlang,delta7,recovered,3.0
276,AR,Changlang,delta7,vaccinated1,298.0
277,AR,Changlang,delta7,vaccinated2,3803.0
278,AR,Changlang,meta,population,147951.0
280,AR,Changlang,total,confirmed,3807.0
281,AR,Changlang,total,deceased,22.0
282,AR,Changlang,total,recovered,3780.0
283,AR,Changlang,total,tested,23861.0
284,AR,Changlang,total,vaccinated1,88857.0
285,AR,Changlang,total,vaccinated2,55361.0
286,AR,East Kameng,delta,vaccinated2,1.0
287,AR,East Kameng,delta7,vaccinated1,76.0
288,AR,East Kameng,delta7,vaccinated2,409.0
289,AR,East Kameng,meta,population,78413.0
291,AR,East Kameng,total,confirmed,1094.0
292,AR,East Kameng,total,recovered,1094.0
293,AR,East Kameng,total,tested,7489.0
294,AR,East Kameng,total,vaccinated1,22931.0
295,AR,East Kameng,total,vaccinated2,15646.0
296,AR,East Siang,delta,recovered,5.0
297,AR,East Siang,delta21_14,confirmed,2.0
298,AR,East Siang,delta7,confirmed,9.0
299,AR,East Siang,delta7,recovered,10.0
300,AR,East Siang,delta7,vaccinated1,365.0
301,AR,East Siang,delta7,vaccinated2,2013.0
302,AR,East Siang,meta,population,99019.0
304,AR,East Siang,total,confirmed,3206.0
305,AR,East Siang,total,deceased,17.0
306,AR,East Siang,total,recovered,3183.0
307,AR,East Siang,total,tested,21867.0
308,AR,East Siang,total,vaccinated1,54001.0
309,AR,East Siang,total,vaccinated2,39434.0
310,AR,Kamle,delta7,vaccinated1,36.0
311,AR,Kamle,delta7,vaccinated2,185.0
312,AR,Kamle,meta,population,22256.0
314,AR,Kamle,total,confirmed,512.0
315,AR,Kamle,total,recovered,512.0
316,AR,Kamle,total,tested,1385.0
317,AR,Kamle,total,vaccinated1,6946.0
318,AR,Kamle,total,vaccinated2,3874.0
319,AR,Kra Daadi,delta7,vaccinated1,5.0
320,AR,Kra Daadi,delta7,vaccinated2,23.0
322,AR,Kra Daadi,total,confirmed,270.0
323,AR,Kra Daadi,total,recovered,270.0
324,AR,Kra Daadi,total,tested,3218.0
325,AR,Kra Daadi,total,vaccinated1,6275.0
326,AR,Kra Daadi,total,vaccinated2,3272.0
327,AR,Kurung Kumey,delta7,vaccinated1,27.0
328,AR,Kurung Kumey,delta7,vaccinated2,255.0
329,AR,Kurung Kumey,meta,population,89717.0
331,AR,Kurung Kumey,total,confirmed,511.0
332,AR,Kurung Kumey,total,deceased,1.0
333,AR,Kurung Kumey,total,recovered,510.0
334,AR,Kurung Kumey,total,tested,4201.0
335,AR,Kurung Kumey,total,vaccinated1,9121.0
336,AR,Kurung Kumey,total,vaccinated2,5601.0
337,AR,Lepa Rada,delta,vaccinated1,6.0
338,AR,Lepa Rada,delta,vaccinated2,54.0
339,AR,Lepa Rada,delta7,recovered,1.0
340,AR,Lepa Rada,delta7,vaccinated1,40.0
341,AR,Lepa Rada,delta7,vaccinated2,307.0
343,AR,Lepa Rada,total,confirmed,874.0
344,AR,Lepa Rada,total,deceased,3.0
345,AR,Lepa Rada,total,recovered,871.0
346,AR,Lepa Rada,total,tested,6747.0
347,AR,Lepa Rada,total,vaccinated1,13328.0
348,AR,Lepa Rada,total,vaccinated2,10176.0
349,AR,Lohit,delta21_14,confirmed,2.0
350,AR,Lohit,delta7,confirmed,9.0
351,AR,Lohit,delta7,recovered,3.0
352,AR,Lohit,delta7,vaccinated1,221.0
353,AR,Lohit,delta7,vaccinated2,1494.0
354,AR,Lohit,meta,population,145538.0
356,AR,Lohit,total,confirmed,2885.0
357,AR,Lohit,total,deceased,26.0
358,AR,Lohit,total,recovered,2851.0
359,AR,Lohit,total,tested,14945.0
360,AR,Lohit,total,vaccinated1,31120.0
361,AR,Lohit,total,vaccinated2,22003.0
362,AR,Longding,delta7,confirmed,1.0
363,AR,Longding,delta7,vaccinated1,46.0
364,AR,Longding,delta7,vaccinated2,356.0
365,AR,Longding,meta,population,60000.0
367,AR,Longding,total,confirmed,752.0
368,AR,Longding,total,deceased,2.0
369,AR,Longding,total,recovered,749.0
370,AR,Longding,total,tested,10342.0
371,AR,Longding,total,vaccinated1,19259.0
372,AR,Longding,total,vaccinated2,7826.0
373,AR,Lower Dibang Valley,delta,vaccinated1,19.0
374,AR,Lower Dibang Valley,delta,vaccinated2,1.0
375,AR,Lower Dibang Valley,delta21_14,confirmed,6.0
376,AR,Lower Dibang Valley,delta7,confirmed,14.0
377,AR,Lower Dibang Valley,delta7,recovered,3.0
378,AR,Lower Dibang Valley,delta7,vaccinated1,171.0
379,AR,Lower Dibang Valley,delta7,vaccinated2,931.0
380,AR,Lower Dibang Valley,meta,population,53986.0
382,AR,Lower Dibang Valley,total,confirmed,2426.0
383,AR,Lower Dibang Valley,total,deceased,11.0
384,AR,Lower Dibang Valley,total,recovered,2397.0
385,AR,Lower Dibang Valley,total,tested,12169.0
386,AR,Lower Dibang Valley,total,vaccinated1,32639.0
387,AR,Lower Dibang Valley,total,vaccinated2,22089.0
388,AR,Lower Siang,delta7,vaccinated1,37.0
389,AR,Lower Siang,delta7,vaccinated2,317.0
390,AR,Lower Siang,meta,population,80597.0
392,AR,Lower Siang,total,confirmed,738.0
393,AR,Lower Siang,total,deceased,8.0
394,AR,Lower Siang,total,recovered,730.0
395,AR,Lower Siang,total,tested,7070.0
396,AR,Lower Siang,total,vaccinated1,16565.0
397,AR,Lower Siang,total,vaccinated2,9990.0
398,AR,Lower Subansiri,delta,vaccinated1,2.0
399,AR,Lower Subansiri,delta,vaccinated2,36.0
400,AR,Lower Subansiri,delta21_14,confirmed,7.0
401,AR,Lower Subansiri,delta7,confirmed,5.0
402,AR,Lower Subansiri,delta7,recovered,2.0
403,AR,Lower Subansiri,delta7,vaccinated1,85.0
404,AR,Lower Subansiri,delta7,vaccinated2,767.0
405,AR,Lower Subansiri,meta,population,82839.0
407,AR,Lower Subansiri,total,confirmed,3036.0
408,AR,Lower Subansiri,total,deceased,15.0
409,AR,Lower Subansiri,total,recovered,3015.0
410,AR,Lower Subansiri,total,tested,10564.0
411,AR,Lower Subansiri,total,vaccinated1,26916.0
412,AR,Lower Subansiri,total,vaccinated2,18827.0
413,AR,Namsai,delta21_14,confirmed,8.0
414,AR,Namsai,delta7,confirmed,4.0
415,AR,Namsai,delta7,recovered,16.0
416,AR,Namsai,delta7,vaccinated1,209.0
417,AR,Namsai,delta7,vaccinated2,2436.0
418,AR,Namsai,meta,population,95950.0
420,AR,Namsai,total,confirmed,2124.0
421,AR,Namsai,total,deceased,17.0
422,AR,Namsai,total,recovered,2102.0
423,AR,Namsai,total,tested,19987.0
424,AR,Namsai,total,vaccinated1,63539.0
425,AR,Namsai,total,vaccinated2,47104.0
426,AR,Pakke Kessang,delta,vaccinated2,14.0
427,AR,Pakke Kessang,delta21_14,confirmed,1.0
428,AR,Pakke Kessang,delta7,vaccinated1,25.0
429,AR,Pakke Kessang,delta7,vaccinated2,262.0
431,AR,Pakke Kessang,total,confirmed,453.0
432,AR,Pakke Kessang,total,recovered,453.0
433,AR,Pakke Kessang,total,tested,3327.0
434,AR,Pakke Kessang,total,vaccinated1,8004.0
435,AR,Pakke Kessang,total,vaccinated2,4998.0
436,AR,Papum Pare,delta,confirmed,1.0
437,AR,Papum Pare,delta,recovered,1.0
438,AR,Papum Pare,delta21_14,confirmed,22.0
439,AR,Papum Pare,delta7,confirmed,7.0
440,AR,Papum Pare,delta7,recovered,12.0
441,AR,Papum Pare,delta7,vaccinated1,1055.0
442,AR,Papum Pare,delta7,vaccinated2,3799.0
443,AR,Papum Pare,meta,population,176385.0
445,AR,Papum Pare,total,confirmed,18316.0
446,AR,Papum Pare,total,deceased,98.0
447,AR,Papum Pare,total,recovered,18212.0
448,AR,Papum Pare,total,tested,41960.0
449,AR,Papum Pare,total,vaccinated1,141168.0
450,AR,Papum Pare,total,vaccinated2,100258.0
451,AR,Shi Yomi,delta21_14,confirmed,3.0
452,AR,Shi Yomi,delta7,confirmed,1.0
453,AR,Shi Yomi,delta7,recovered,10.0
454,AR,Shi Yomi,delta7,vaccinated1,2.0
455,AR,Shi Yomi,delta7,vaccinated2,153.0
456,AR,Shi Yomi,meta,population,13310.0
458,AR,Shi Yomi,total,confirmed,262.0
459,AR,Shi Yomi,total,recovered,261.0
460,AR,Shi Yomi,total,tested,2169.0
461,AR,Shi Yomi,total,vaccinated1,6910.0
462,AR,Shi Yomi,total,vaccinated2,5663.0
463,AR,Siang,delta7,vaccinated1,40.0
464,AR,Siang,delta7,vaccinated2,197.0
465,AR,Siang,meta,population,31920.0
467,AR,Siang,total,confirmed,411.0
468,AR,Siang,total,deceased,3.0
469,AR,Siang,total,recovered,408.0
470,AR,Siang,total,tested,4270.0
471,AR,Siang,total,vaccinated1,14408.0
472,AR,Siang,total,vaccinated2,9068.0
473,AR,Tawang,delta21_14,confirmed,12.0
474,AR,Tawang,delta7,confirmed,12.0
475,AR,Tawang,delta7,recovered,8.0
476,AR,Tawang,delta7,vaccinated1,91.0
477,AR,Tawang,delta7,vaccinated2,759.0
478,AR,Tawang,meta,population,49950.0
480,AR,Tawang,total,confirmed,2577.0
481,AR,Tawang,total,deceased,20.0
482,AR,Tawang,total,recovered,2533.0
483,AR,Tawang,total,tested,14224.0
484,AR,Tawang,total,vaccinated1,29553.0
485,AR,Tawang,total,vaccinated2,23287.0
486,AR,Tirap,delta7,recovered,2.0
487,AR,Tirap,delta7,vaccinated1,35.0
488,AR,Tirap,delta7,vaccinated2,631.0
489,AR,Tirap,meta,population,111997.0
491,AR,Tirap,total,confirmed,1109.0
492,AR,Tirap,total,deceased,5.0
493,AR,Tirap,total,recovered,1102.0
494,AR,Tirap,total,tested,14657.0
495,AR,Tirap,total,vaccinated1,31565.0
496,AR,Tirap,total,vaccinated2,21200.0
497,AR,Upper Dibang Valley,delta21_14,confirmed,1.0
498,AR,Upper Dibang Valley,delta7,recovered,1.0
499,AR,Upper Dibang Valley,delta7,vaccinated1,3.0
500,AR,Upper Dibang Valley,delta7,vaccinated2,11.0
501,AR,Upper Dibang Valley,meta,population,7948.0
503,AR,Upper Dibang Valley,total,confirmed,337.0
504,AR,Upper Dibang Valley,total,deceased,2.0
505,AR,Upper Dibang Valley,total,recovered,335.0
506,AR,Upper Dibang Valley,total,tested,1910.0
507,AR,Upper Dibang Valley,total,vaccinated1,4156.0
508,AR,Upper Dibang Valley,total,vaccinated2,2603.0
509,AR,Upper Siang,delta21_14,confirmed,2.0
510,AR,Upper Siang,delta7,recovered,2.0
511,AR,Upper Siang,delta7,vaccinated1,38.0
512,AR,Upper Siang,delta7,vaccinated2,411.0
513,AR,Upper Siang,meta,population,35289.0
515,AR,Upper Siang,total,confirmed,1016.0
516,AR,Upper Siang,total,deceased,1.0
517,AR,Upper Siang,total,recovered,1015.0
518,AR,Upper Siang,total,tested,6564.0
519,AR,Upper Siang,total,vaccinated1,18594.0
520,AR,Upper Siang,total,vaccinated2,13671.0
521,AR,Upper Subansiri,delta7,vaccinated1,93.0
522,AR,Upper Subansiri,delta7,vaccinated2,1122.0
523,AR,Upper Subansiri,meta,population,83205.0
525,AR,Upper Subansiri,total,confirmed,1958.0
526,AR,Upper Subansiri,total,deceased,6.0
527,AR,Upper Subansiri,total,recovered,1952.0
528,AR,Upper Subansiri,total,tested,6217.0
529,AR,Upper Subansiri,total,vaccinated1,24842.0
530,AR,Upper Subansiri,total,vaccinated2,16390.0
531,AR,West Kameng,delta,recovered,7.0
532,AR,West Kameng,delta,vaccinated1,15.0
533,AR,West Kameng,delta,vaccinated2,89.0
534,AR,West Kameng,delta21_14,confirmed,17.0
535,AR,West Kameng,delta7,confirmed,1.0
536,AR,West Kameng,delta7,recovered,21.0
537,AR,West Kameng,delta7,vaccinated1,206.0
538,AR,West Kameng,delta7,vaccinated2,1914.0
539,AR,West Kameng,meta,population,87013.0
541,AR,West Kameng,total,confirmed,3545.0
542,AR,West Kameng,total,deceased,14.0
543,AR,West Kameng,total,recovered,3518.0
544,AR,West Kameng,total,tested,28155.0
545,AR,West Kameng,total,vaccinated1,55710.0
546,AR,West Kameng,total,vaccinated2,40321.0
548,AR,West Siang,delta21_14,confirmed,4.0
549,AR,West Siang,delta7,recovered,3.0
550,AR,West Siang,delta7,vaccinated1,63.0
551,AR,West Siang,delta7,vaccinated2,640.0
552,AR,West Siang,meta,population,112272.0
554,AR,West Siang,total,confirmed,1868.0
555,AR,West Siang,total,deceased,6.0
556,AR,West Siang,total,recovered,1856.0
557,AR,West Siang,total,tested,13192.0
558,AR,West Siang,total,vaccinated1,33773.0
559,AR,West Siang,total,vaccinated2,27867.0
560,AS,Baksa,delta,vaccinated1,39.0
561,AS,Baksa,delta,vaccinated2,172.0
562,AS,Baksa,delta7,vaccinated1,2992.0
563,AS,Baksa,delta7,vaccinated2,15169.0
564,AS,Baksa,meta,population,953773.0
565,AS,Baksa,total,vaccinated1,553967.0
566,AS,Baksa,total,vaccinated2,136574.0
567,AS,Barpeta,delta,vaccinated1,369.0
568,AS,Barpeta,delta,vaccinated2,1035.0
569,AS,Barpeta,delta7,vaccinated1,10495.0
570,AS,Barpeta,delta7,vaccinated2,48544.0
571,AS,Barpeta,meta,population,1693190.0
572,AS,Barpeta,total,vaccinated1,1095048.0
573,AS,Barpeta,total,vaccinated2,448006.0
574,AS,Biswanath,delta,vaccinated1,507.0
575,AS,Biswanath,delta,vaccinated2,1655.0
576,AS,Biswanath,delta7,vaccinated1,5661.0
577,AS,Biswanath,delta7,vaccinated2,35727.0
578,AS,Biswanath,meta,population,612491.0
579,AS,Biswanath,total,vaccinated1,456088.0
580,AS,Biswanath,total,vaccinated2,213437.0
581,AS,Bongaigaon,delta,vaccinated1,85.0
582,AS,Bongaigaon,delta,vaccinated2,1287.0
583,AS,Bongaigaon,delta7,vaccinated1,2784.0
584,AS,Bongaigaon,delta7,vaccinated2,18356.0
585,AS,Bongaigaon,meta,population,732639.0
586,AS,Bongaigaon,total,vaccinated1,493242.0
587,AS,Bongaigaon,total,vaccinated2,183782.0
588,AS,Cachar,delta,vaccinated1,2149.0
589,AS,Cachar,delta,vaccinated2,966.0
590,AS,Cachar,delta7,vaccinated1,26826.0
591,AS,Cachar,delta7,vaccinated2,21591.0
592,AS,Cachar,meta,population,1736319.0
593,AS,Cachar,total,vaccinated1,1101266.0
594,AS,Cachar,total,vaccinated2,402535.0
595,AS,Charaideo,delta,vaccinated1,3.0
596,AS,Charaideo,delta,vaccinated2,26.0
597,AS,Charaideo,delta7,vaccinated1,1853.0
598,AS,Charaideo,delta7,vaccinated2,16868.0
599,AS,Charaideo,total,vaccinated1,309125.0
600,AS,Charaideo,total,vaccinated2,111219.0
601,AS,Chirang,delta,vaccinated1,22.0
602,AS,Chirang,delta,vaccinated2,89.0
603,AS,Chirang,delta7,vaccinated1,2488.0
604,AS,Chirang,delta7,vaccinated2,9573.0
605,AS,Chirang,meta,population,481818.0
606,AS,Chirang,total,vaccinated1,288696.0
607,AS,Chirang,total,vaccinated2,102397.0
608,AS,Darrang,delta,vaccinated1,365.0
609,AS,Darrang,delta,vaccinated2,270.0
610,AS,Darrang,delta7,vaccinated1,17453.0
611,AS,Darrang,delta7,vaccinated2,21800.0
612,AS,Darrang,meta,population,908090.0
613,AS,Darrang,total,vaccinated1,596783.0
614,AS,Darrang,total,vaccinated2,183724.0
615,AS,Dhemaji,delta,vaccinated1,55.0
616,AS,Dhemaji,delta,vaccinated2,47.0
617,AS,Dhemaji,delta7,vaccinated1,3423.0
618,AS,Dhemaji,delta7,vaccinated2,15318.0
619,AS,Dhemaji,meta,population,688077.0
620,AS,Dhemaji,total,vaccinated1,431792.0
621,AS,Dhemaji,total,vaccinated2,184251.0
622,AS,Dhubri,delta,vaccinated1,1042.0
